id,rest_name,menu,price
0,BBQ 공릉스타점,자메이카 소떡만나치킨,24000
1,BBQ 공릉스타점,자메이카 소떡만나 콤보치킨,25500
2,BBQ 공릉스타점,크런치버터치킨,24000
3,BBQ 공릉스타점,황금올리브치킨 콤보,24000
4,BBQ 공릉스타점,황금올리브치킨,20000
5,본죽&비빔밥cafe 공릉원자력병원점,단호박죽,9500
6,본죽&비빔밥cafe 공릉원자력병원점,낙지김치죽,10000
7,본죽&비빔밥cafe 공릉원자력병원점,삼계죽,11000
8,본죽&비빔밥cafe 공릉원자력병원점,전복죽,12000
9,본죽&비빔밥cafe 공릉원자력병원점,쇠고기야채죽,10000
10,쿡앤쿡,야채김밥,2000
11,쿡앤쿡,치즈김밥,3000
12,쿡앤쿡,참치김밥,3500
13,쿡앤쿡,우동,4000
14,쿡앤쿡,일반라면,3000
15,피자꾼 공릉본점,도시갈비(R),20500
16,피자꾼 공릉본점,시골갈비피자(R),20500
17,피자꾼 공릉본점,시골갈비피자(L),23500
18,피자꾼 공릉본점,매운시골갈비(R),21000
19,피자꾼 공릉본점,매운시골갈비(L),24000
20,감탄떡볶이 공릉풍림점,감탄떡볶이,3500
21,감탄떡볶이 공릉풍림점,바삭튀김,4000
22,감탄떡볶이 공릉풍림점,찰순대,4000
23,감탄떡볶이 공릉풍림점,감탄우동,4000
24,감탄떡볶이 공릉풍림점,곡물핫도그,1500
25,처갓집양념치킨 공릉점,슈프림양념치킨,21000
26,처갓집양념치킨 공릉점,치즈슈프림 양념치킨,21000
27,처갓집양념치킨 공릉점,허니올리고당야채양념치킨,19000
28,처갓집양념치킨 공릉점,후라이드치킨,18000
29,처갓집양념치킨 공릉점,와락치킨,20000
30,원조강영숙봉평메밀촌 본점,물막국수,7000
31,원조강영숙봉평메밀촌 본점,비빔막국수,7000
32,원조강영숙봉평메밀촌 본점,회막국수,8500
33,원조강영숙봉평메밀촌 본점,한방수육,20000
34,원조강영숙봉평메밀촌 본점,메밀전,7000
35,공릉모소리,모소리한상,50000
36,공릉모소리,가오리살,13000
37,공릉모소리,모소리살,13000
38,공릉모소리,가로막살,13000
39,공릉모소리,구멍살,13000
40,여물소,깍두기볶음밥,2000
41,여물소,한우등심구이,30000
42,장수해물칼국수,만두전골,9000
43,장수해물칼국수,해물칼국수,8000
44,장수해물칼국수,안동칼국수,8000
45,장수해물칼국수,만둣국,8000
46,장수해물칼국수,떡만둣국,8000
47,원조멸치국수,멸치국수,4000
48,원조멸치국수,비빔국수,4500
49,원조멸치국수,왕만두,5500
50,원조멸치국수,떡라면,3500
51,원조멸치국수,비빔밥,5000
52,남대문황금족발 공릉점,황금족발 (중),25000
53,남대문황금족발 공릉점,미니족발 (2개),10000
54,남대문황금족발 공릉점,매운족발 (미니),15000
55,남대문황금족발 공릉점,쟁반막국수,9000
56,남대문황금족발 공릉점,족발 (대) &매운족발 (미니),40000
57,꿀삼겹,삼겹살+해물탕Set,15900
58,동창야채닭갈비 공릉점,닭갈비,11000
59,동창야채닭갈비 공릉점,동치미 막국수,6000
60,동창야채닭갈비 공릉점,비빔 막국수,6000
61,동창야채닭갈비 공릉점,치즈 볶음밥,3000
62,동창야채닭갈비 공릉점,날치알 볶음밥,3000
63,헬로베트남쌀국수 공릉점,소고기쌀국수 (보통),3900
64,헬로베트남쌀국수 공릉점,소고기쌀국수 (곱배기),4900
65,헬로베트남쌀국수 공릉점,라이스앤누들 (보통),3900
66,헬로베트남쌀국수 공릉점,라이스앤누들 (곱배기),4900
67,헬로베트남쌀국수 공릉점,짜조,3900
68,김밥천국 공릉점,야채김밥,2500
69,김밥천국 공릉점,피망김밥,3000
70,김밥천국 공릉점,소고기김밥,4000
71,김밥천국 공릉점,라면,3500
72,김밥천국 공릉점,된장찌개,6000
73,스마일닭발,국물닭발 (소),16000
74,스마일닭발,뼈닭발 (소),15000
75,스마일닭발,더건강한 후라이드치킨,15000
76,스마일닭발,더건강한 양념치킨,16000
77,스마일닭발,더건강한 반반치킨,16000
78,땡초집,불쭈꾸미,12000
79,땡초집,불쭈꾸미제육,12000
80,땡초집,불쭈꾸미차돌,14000
81,땡초집,매운갈비찜,23000
82,땡초집,쭈꾸미매운등갈비찜,14000
83,권서방네 순대국왕순대 공릉점,순대국,7000
84,권서방네 순대국왕순대 공릉점,뼈해장국,7000
85,권서방네 순대국왕순대 공릉점,코다리정식,8000
86,권서방네 순대국왕순대 공릉점,수육순대,28000
87,권서방네 순대국왕순대 공릉점,부추김치전,10000
88,생선까시,고등어구이,9000
89,생선까시,삼치구이,10000
90,생선까시,갈치구이,12000
91,생선까시,대구탕,9000
92,생선까시,아구탕,10000
93,뜨락,한식부페,7500
94,에이엔,디너 오마카세,70000
95,휴돈정,히레카츠,11500
96,휴돈정,치즈가츠,11500
97,휴돈정,모듬카츠,13500
98,휴돈정,냉모밀,7000
99,휴돈정,우동,6000
100,구라네쪽갈비,쪽갈비 (350g),14000
101,구라네쪽갈비,LA갈비 (200g),14000
102,하회정,만둣국 (특),9000
103,하회정,만둣국,7000
104,하회정,떡만둣국,7000
105,하회정,떡국,7000
106,하회정,사골칼국수 (특),7000
107,형제해장국,선지해장국,4000
108,형제해장국,카레밥,4000
109,형제해장국,돼지뼈해장국,4500
110,형제해장국,소뼈해장국,5000
111,형제해장국,양천엽해장국,5500
112,피자알볼로 공릉하계점,대새피자,25500
113,피자알볼로 공릉하계점,옥수수피자,21000
114,피자알볼로 공릉하계점,단호박피자,21000
115,피자알볼로 공릉하계점,쉬림프&핫치킨골드피자,27500
116,피자알볼로 공릉하계점,어깨피자,25500
117,대마에스시,특초밥 (12p),14900
118,대마에스시,초밥 (10p),10000
