id,rest_name,address,kakao_url,star,star_num,image,distance
0,BBQ 공릉스타점,서울특별시 노원구 공릉동 727 풍림아파트,https://place.map.kakao.com/680118322,5,2,,21
1,1번지통닭 공릉점,서울특별시 노원구 공릉동 727 풍림아파트 ,https://place.map.kakao.com/837327706,5,2,//t1.daumcdn.net/place/2CDA198FFF984210B92C1D4E59DDBDC7,22
2,본죽&비빔밥cafe 공릉원자력병원점,서울특별시 노원구 공릉동 727 풍림아파트B상가 114동 110호,https://place.map.kakao.com/11049842,5,2,,11
3,쿡앤쿡,서울특별시 노원구 공릉동 727번지 풍림상가 114동 102호,https://place.map.kakao.com/19607441,3.8,4,,23
4,피자꾼 공릉본점,서울특별시 노원구 공릉동 727번지 풍림아파트 114동 106호,https://place.map.kakao.com/13058367,5,2,,22
5,감탄떡볶이 공릉풍림점,서울특별시 노원구 공릉동 727번지 풍림아파트상가 114동 105-3 ,https://place.map.kakao.com/1384725117,5,1,//t1.daumcdn.net/place/F8E951D2C9754E1FB040E346EA75B10A,22
6,풍년식당,서울특별시 노원구 공릉동 708 2단지상가 106호,https://place.map.kakao.com/16623430,0,0,,20
7,처갓집양념치킨 공릉점,서울특별시 노원구 공릉동 708 공릉(아)2단지상가 102호,https://place.map.kakao.com/26783547,5,6,,25
8,원조강영숙봉평메밀촌 본점,서울특별시 노원구 공릉동 312-24 ,https://place.map.kakao.com/17223169,4.5,22,//t1.daumcdn.net/place/C452D7ECAA58424F9B616C5ABB719996,10
9,채선당도시락&샐러드 공릉점,서울특별시 노원구 공릉동 312-8 ,https://place.map.kakao.com/1722832769,5,4,//t1.kakaocdn.net/fiy_reboot/place/5AFA10DC478941B0A005E75E1A037627,21
10,공릉모소리,서울특별시 노원구 공릉동 312-9 동일주택 1층 ,https://place.map.kakao.com/1578206237,4.7,6,//t1.kakaocdn.net/mystore/C16190F1D17B4EC0930D0945D4BD9AE0,21
11,프랭크버거 공릉점,서울특별시 노원구 공릉동 323-2 공삼빌딩,https://place.map.kakao.com/2096674278,5,1,//t1.kakaocdn.net/fiy_reboot/place/1B4D34F965F24F90A7B8E6931C93571D,19
12,여물소,서울특별시 노원구 공릉동 323-2번지 공삼빌딩 ,https://place.map.kakao.com/10250915,3.7,6,,19
13,영자네곱창 공릉역점,서울특별시 노원구 공릉동 380-54번지 ,https://place.map.kakao.com/2038437403,5,1,//t1.daumcdn.net/place/E6AEA31B525A4203BD969B2F8D06329B,22
14,장수해물칼국수,서울특별시 노원구 공릉동 380-5,https://place.map.kakao.com/13594099,3.8,8,//t1.daumcdn.net/place/D94C1EA5E7E749E2A0988415C43C613D,22
15,뚱보네기사식당,서울특별시 노원구 공릉동 323-20,https://place.map.kakao.com/11136536,0,0,,21
16,산골집,서울특별시 노원구 공릉동 404-1번지 1층 ,https://place.map.kakao.com/16302446,4.4,7,//t1.daumcdn.net/localfiy/EF4C2ED24B764BE197DDEF4A35F6CDA4,20
17,개미식당,서울특별시 노원구 공릉동 323-21번지 ,https://place.map.kakao.com/10131319,0,0,//t1.daumcdn.net/place/1B6FDEAC1B7944508BCF6F3AC3A18DC2,20
18,원조멸치국수,서울특별시 노원구 공릉동 323-21번지 ,https://place.map.kakao.com/16704247,5,9,//t1.daumcdn.net/place/30360DA280044741A1BB9C5157834EDA,26
19,아늑한주방 공릉점,서울특별시 노원구 공릉동 404-8 1층,https://place.map.kakao.com/1549343775,3.7,12,//t1.daumcdn.net/place/02B70775EE6F476D8A894043CA222053,21
20,남대문황금족발 공릉점,서울특별시 노원구 공릉동 379-1,https://place.map.kakao.com/16558134,4,1,//t1.daumcdn.net/place/52850046B4754038AFE47F6CD0EF1FD2,20
21,꿀삼겹,서울특별시 노원구 공릉동 379-1,https://place.map.kakao.com/2085893063,4.8,4,//t1.kakaocdn.net/mystore/648228A3D3384D33B7E74B69148F0C99,20
22,동창야채닭갈비 공릉점,서울특별시 노원구 공릉동 380-42번지 지상1층 ,https://place.map.kakao.com/27473728,4,3,//t1.daumcdn.net/place/9FA5C46EAE374D7697BD021230E57BF5,21
23,헬로베트남쌀국수 공릉점,서울특별시 노원구 공릉동 379-3번지 ,https://place.map.kakao.com/856906071,4,2,//t1.daumcdn.net/place/BED591C892A14FF2A5F9DE9590A8F557,21
24,김밥천국 공릉점,서울특별시 노원구 공릉동 382-10 ,https://place.map.kakao.com/16527403,4.1,10,//t1.daumcdn.net/place/DB5FA9A0EBC24C84BD9CA907F477BEEB,10
25,백채김치찌개 공릉역점,서울특별시 노원구 공릉동 382-11 ,https://place.map.kakao.com/628214370,5,7,//t1.daumcdn.net/place/2DFCEBAFBAD9478890F888991F956289,20
26,스마일닭발,서울특별시 노원구 공릉동 382-22번지 1층 ,https://place.map.kakao.com/1798189722,5,3,//t1.kakaocdn.net/fiy_reboot/place/3EF37640F46645C883A4B6DA3A9035EE,20
27,땡초집,서울특별시 노원구 공릉동 379-4번지 금광빌딩 1층 ,https://place.map.kakao.com/27473603,4,4,//t1.daumcdn.net/place/80FC85A8344D4E3680AB09D8E10D5D7B,21
28,권서방네 순대국왕순대 공릉점,서울특별시 노원구 공릉동 379-25번지 ,https://place.map.kakao.com/12697915,5,1,//t1.daumcdn.net/place/6177E144ED5B45BBB1357C5AD12FC459,20
29,생선까시,서울특별시 노원구 공릉동 379-25번지 1층 ,https://place.map.kakao.com/1674504332,2.8,19,//t1.daumcdn.net/localfiy/28C5524157FC4A9CAF33447407B9B6B2,20
30,뜨락,서울특별시 노원구 공릉동 404-2번지 ,https://place.map.kakao.com/1148391455,0,0,//t1.daumcdn.net/place/2B33CE14C72D450384A94CF6EC9FA5E3,20
31,제육대가 공릉점,서울특별시 노원구 공릉동 323-8 ,https://place.map.kakao.com/640110863,0,0,,20
32,원조명동찌개마을 공릉동직영점,서울특별시 노원구 공릉동 323-8번지 ,https://place.map.kakao.com/1424200889,1,1,,19
33,에이엔,서울특별시 노원구 공릉동 379-34번지 101호,https://place.map.kakao.com/1105006417,4.6,5,//t1.daumcdn.net/place/994A0D5F607F484597CEF865DDAC8EB4,20
34,일등숯불갈비,서울특별시 노원구 공릉동 383-2번지 ,https://place.map.kakao.com/345227058,3.5,4,,19
35,휴돈정,서울특별시 노원구 공릉동 383-12 건양오피스텔 104호,https://place.map.kakao.com/1682786058,3.8,23,//t1.daumcdn.net/place/C250AB673F704C2A9781C37B39FED37E,20
36,구라네쪽갈비,서울특별시 노원구 공릉동 404-5번지 1층 ,https://place.map.kakao.com/25540244,5,3,//t1.daumcdn.net/place/330E979C6EDF4BB4BBDFD24DEA033A8A,21
37,김밥윤결,서울특별시 노원구 공릉동 323-11,https://place.map.kakao.com/1791415002,2.6,5,//t1.daumcdn.net/place/6BF9B83573224DF68670CF085C3A5B48,20
38,하회정,서울특별시 노원구 공릉동 404-7번지 ,https://place.map.kakao.com/15832983,5,5,,21
39,화락바베큐치킨 노원공릉점,서울특별시 노원구 공릉동 362-1,https://place.map.kakao.com/278542248,0,0,,17
40,형제해장국,서울특별시 노원구 공릉동 362-1번지 ,https://place.map.kakao.com/20741019,4,2,//t1.daumcdn.net/place/82DB6B20AAC4496D9F24B170439E7275,17
41,피자알볼로 공릉하계점,서울특별시 노원구 공릉동 362-1번지 ,https://place.map.kakao.com/21876088,1,1,//t1.daumcdn.net/place/B53278E035814835AEE1079EDEE524D1,17
42,명륜진사갈비 서울공릉점,서울특별시 노원구 공릉동 362-1번지 태평당약국 ,https://place.map.kakao.com/2015181783,2.4,15,//t1.daumcdn.net/place/158A20F996544E8A955DD7498509C1B5,17
43,대마에스시,서울특별시 노원구 공릉동 323-10번지 ,https://place.map.kakao.com/288510513,3.2,5,//t1.daumcdn.net/place/4E29F67A31EA458C9528408BBDD636E1,19
44,이박사왕돈까스,서울특별시 노원구 공릉동 492-8번지 ,https://place.map.kakao.com/16498930,3.5,11,//t1.daumcdn.net/place/F8193078BADE484AA33F6FCEB17696BE,21
45,고향집,서울특별시 노원구 공릉동 400-32번지 ,https://place.map.kakao.com/854757776,0,0,,19
46,곰배령전,서울특별시 노원구 공릉동 492-9,https://place.map.kakao.com/676787831,4,1,//t1.daumcdn.net/place/76BD83BF8A054FAD8BB20494611DF286,37
47,울산아구찜,서울특별시 노원구 공릉동 492-9번지 ,https://place.map.kakao.com/19949847,0,0,,21
48,춘보만두,서울특별시 노원구 공릉동 571-30번지 ,https://place.map.kakao.com/16055808,2.8,32,//t1.daumcdn.net/place/CCD5D251A86643E4A7CE1AC83E6C96DA,25
49,고기반햄반김치찌개 김치찜 공릉점,서울특별시 노원구 공릉동 492-3 서진프라자아파트,https://place.map.kakao.com/248534070,0,0,,22
50,매우당,서울특별시 노원구 공릉동 492-3번지 서진프라자아파트 ,https://place.map.kakao.com/2119726796,2,1,//t1.daumcdn.net/place/4F93CEF471824935A9F053B680AF8AA3,22
51,신종로빈대떡,서울특별시 노원구 공릉동 400-4 외 1필지 ,https://place.map.kakao.com/16767623,5,1,//t1.daumcdn.net/place/CC5E9BE020EE4681AA27E27F7150255E,18
52,그릭앤샌드 욤욤,서울특별시 노원구 공릉동 400-4 화랑공인중개사,https://place.map.kakao.com/1811206210,5,3,//t1.daumcdn.net/place/792187D85CE14FCA89CED599397CE450,18
53,네네치킨 공릉역점,서울특별시 노원구 공릉동 400-4 화랑공인중개사 ,https://place.map.kakao.com/997281152,3.7,3,//t1.daumcdn.net/place/24C6C5D7E87E4536B347899A90D0D86D,18
54,이박사복아구찜전문,서울특별시 노원구 공릉동 400-4번지 화랑공인중개사 ,https://place.map.kakao.com/709008839,0,0,,18
55,BBQ 공릉역점,서울특별시 노원구 공릉동 400-8 신한양아파트 ,https://place.map.kakao.com/550910445,5,10,//t1.daumcdn.net/localfiy/D8957D02328F4DFA95D565E8FF495D17,19
56,바로파스타&바로덮밥 공릉점,서울특별시 노원구 공릉동 400-8 신한양아파트 ,https://place.map.kakao.com/1340815102,0,0,//t1.daumcdn.net/place/9350AD90221C410A9FAF81730B6363BA,19
57,참치여라,서울특별시 노원구 공릉동 379-9 신대림아파트,https://place.map.kakao.com/614570625,5,3,//t1.daumcdn.net/place/1D6EB1C1EE0446E39EFD870DC7443414,18
58,번창,서울특별시 노원구 공릉동 571-9 ,https://place.map.kakao.com/1512318238,0,0,//t1.daumcdn.net/place/103B6F5C10C2476F87C2AC5EB3D9D1D9,23
59,동수네김밥,서울특별시 노원구 공릉동 571-9 1층,https://place.map.kakao.com/1915457679,5,1,//t1.kakaocdn.net/fiy_reboot/place/63D7FE9D53DD40AE9ADC5F51E494E5F6,23
60,세광식당,서울특별시 노원구 공릉동 400-27번지 ,https://place.map.kakao.com/16527131,2.7,3,,20
61,버거킹 공릉역점,서울특별시 노원구 공릉동 379-20 샘병원빌딩 지하11층 ,https://place.map.kakao.com/630873835,2.8,22,//t1.kakaocdn.net/fiy_reboot/place/40547D9A9A3A4788A2520BCAABE97646,18
62,호식이두마리치킨 공릉점,서울특별시 노원구 공릉동 400-3 곱창집 ,https://place.map.kakao.com/1539618262,0,0,//t1.daumcdn.net/place/F687B98D1582448B8566D80D8417C188,18
63,전주백반,서울특별시 노원구 공릉동 571-11번지 ,https://place.map.kakao.com/16329348,4.2,5,,23
64,행복한아구해물동태찜탕,서울특별시 노원구 공릉동 571-12번지 ,https://place.map.kakao.com/575568874,0,0,//t1.daumcdn.net/place/F1A0F5F5B7654BFD85655200693B7DE3,23
65,시골보신탕삼계탕,서울특별시 노원구 공릉동 493-3번지 ,https://place.map.kakao.com/11941936,4.8,4,,21
66,공릉동숯불고기백반 공릉본점,서울특별시 노원구 공릉동 400-1 102호,https://place.map.kakao.com/1919372171,0,0,//t1.daumcdn.net/place/2A1ADBDCE31647B4B6D929F290159E93,18
67,삼삼집,서울특별시 노원구 공릉동 400-1번지 ,https://place.map.kakao.com/16590861,0,0,,18
68,마린월드,서울특별시 노원구 공릉동 400-1번지 ,https://place.map.kakao.com/21447475,4.8,4,//t1.daumcdn.net/place/A31B9A43397D46BE913751387FF0846E,18
69,엄나무닭곰탕,서울특별시 노원구 공릉동 604-1번지 ,https://place.map.kakao.com/16736493,5,1,,27
70,추운돼지,서울특별시 노원구 공릉동 383-14번지 1층 전체 ,https://place.map.kakao.com/1422508761,4.3,4,//t1.kakaocdn.net/fiy_reboot/place/1A03A416E97745F3B41303A6C3BE97C1,18
71,피자나라치킨공주 서울공릉점,서울특별시 노원구 공릉동 400-14,https://place.map.kakao.com/26349555,3.8,4,//t1.daumcdn.net/place/552E2C10487B4B58A6083FED0FA54ABC,18
72,82wa솥뚜껑김치삼겹살&특수부위,서울특별시 노원구 공릉동 362-7 은진교회 2층 ,https://place.map.kakao.com/1709604684,4.7,3,,18
73,예촌손수제비,서울특별시 노원구 공릉동 362-7번지 은진교회 ,https://place.map.kakao.com/1142080205,4.6,8,,18
74,향토곱창,서울특별시 노원구 공릉동 383-18,https://place.map.kakao.com/16819810,2.5,8,//t1.kakaocdn.net/fiy_reboot/place/6D038291E701497997780E06D1044230,18
75,1988옛날통닭,서울특별시 노원구 공릉동 375-1번지 ,https://place.map.kakao.com/1447648375,0,0,,18
76,청정꼬막,서울특별시 노원구 공릉동 493-12,https://place.map.kakao.com/1154140033,3.5,2,//t1.daumcdn.net/place/17885A16B8C24C479935AE6C6BC9D140,22
77,청담족발,서울특별시 노원구 공릉동 493-12 1층,https://place.map.kakao.com/20036136,5,3,//t1.daumcdn.net/place/FF7591DEC6AF409C8EE520A65ABA36F8,22
78,소문난멸치국수,서울특별시 노원구 공릉동 571-16,https://place.map.kakao.com/13305804,3.4,58,//t1.daumcdn.net/place/FC6DD7F0317444EA8DD35414492587EF,24
79,압구정찌개마을 공릉본점,서울특별시 노원구 공릉동 383-17번지 ,https://place.map.kakao.com/20748457,4,8,//t1.daumcdn.net/place/CC5DE7D52D4D4757BF2437889766CB87,18
80,오케이삼겹살,서울특별시 노원구 공릉동 398-1번지 ,https://place.map.kakao.com/27515501,5,6,//t1.daumcdn.net/place/C63FD46C1AE24B7AAFD330F4087974D8,18
81,제일식당,서울특별시 노원구 공릉동 573-4,https://place.map.kakao.com/16051613,5,3,//t1.daumcdn.net/place/FC7A8455E99B465C903AF52F8912B6A9,25
82,장수멸치국수,서울특별시 노원구 공릉동 573-5,https://place.map.kakao.com/16080945,3,3,//t1.daumcdn.net/place/510A0D6F41AC472B9210E56B911BC899,25
83,"굽네치킨 공릉1,3동점",서울특별시 노원구 공릉동 573-20번지 1층 ,https://place.map.kakao.com/8220672,1.8,5,//t1.daumcdn.net/place/BFA3D5BC4013407DBDD590F005B011C7,25
84,유정집 공릉점,서울특별시 노원구 공릉동 573-22번지 유정음식점 1층 ,https://place.map.kakao.com/16875802,3.3,4,,26
85,땡큐불백,서울특별시 노원구 공릉동 738 우성아파트 상가동 101호102호,https://place.map.kakao.com/1565905734,5,6,//t1.kakaocdn.net/mystore/FE25B1DFDA18407CA7C2DC288AFAA400,16
86,잭아저씨 족발&보쌈 공릉점,서울특별시 노원구 공릉동 738 우성아파트 제상가동 1층 103호,https://place.map.kakao.com/456478515,5,2,//t1.daumcdn.net/place/4ABE538DD6AF4EBF87167EEAFFE1CF32,16
