,address,name,category,kakao_keyword,kakaomap_url,kakao_name,kakao_category,kakao_star,kakao_star_num
0,서울특별시 노원구 공릉동 727 풍림아파트,비비큐(BBQ)공릉스타점,호프/통닭,공릉동 비비큐(BBQ)공릉스타점,https://place.map.kakao.com/680118322,BBQ 공릉스타점,BBQ,5.0,2
1,서울특별시 노원구 공릉동 727 풍림아파트 ,1번지통닭공릉점,호프/통닭,공릉동 1번지통닭공릉점,https://place.map.kakao.com/837327706,1번지통닭 공릉점,치킨,5.0,1
2,서울특별시 노원구 공릉동 727 풍림아파트B상가 114동 110호,본죽&비빔밥 공릉점,한식,공릉동 본죽&비빔밥 공릉점,https://place.map.kakao.com/11049842,본죽&비빔밥cafe 공릉원자력병원점,본죽&비빔밥cafe,5.0,2
3,서울특별시 노원구 공릉동 727번지 풍림상가 114동 102호,쿡앤쿡,분식,공릉동 쿡앤쿡,https://place.map.kakao.com/19607441,쿡앤쿡,분식,3.8,4
4,서울특별시 노원구 공릉동 727번지 풍림아파트 114동 106호,피자꾼,경양식,공릉동 피자꾼,https://place.map.kakao.com/13058367,피자꾼 공릉본점,피자,5.0,2
5,서울특별시 노원구 공릉동 727번지 풍림아파트상가 114동 105-3 ,감탄공릉풍림점,분식,공릉동 감탄공릉풍림점,https://place.map.kakao.com/1384725117,감탄떡볶이 공릉풍림점,감탄떡볶이,5.0,1
6,서울특별시 노원구 공릉동 708 2단지상가 106호,풍년식당,한식,공릉동 풍년식당,https://place.map.kakao.com/16623430,풍년식당,한식,0,0
7,서울특별시 노원구 공릉동 708 공릉(아)2단지상가 102호,처갓집양념통닭,통닭(치킨),공릉동 처갓집양념통닭,https://place.map.kakao.com/26783547,처갓집양념치킨 공릉점,처갓집양념치킨,5.0,6
8,서울특별시 노원구 공릉동 312-24 ,공릉봉평메밀촌,호프/통닭,공릉동 공릉봉평메밀촌,https://place.map.kakao.com/17223169,원조강영숙봉평메밀촌 본점,국수,4.5,22
9,서울특별시 노원구 공릉동 312-8 ,채선당 도시락 & 샐러드 공릉점,기타,공릉동 채선당 도시락 & 샐러드 공릉점,https://place.map.kakao.com/1722832769,채선당도시락&샐러드 공릉점,도시락,5.0,4
10,서울특별시 노원구 공릉동 312-9 동일주택 1층 ,공릉 모소리,한식,공릉동 공릉 모소리,https://place.map.kakao.com/1578206237,공릉모소리,한식,5.0,5
11,서울특별시 노원구 공릉동 323-2 공삼빌딩,프랭크버거 공릉점,기타,공릉동 프랭크버거 공릉점,https://place.map.kakao.com/2096674278,프랭크버거 공릉점,프랭크버거,5.0,1
12,서울특별시 노원구 공릉동 323-2번지 공삼빌딩 ,여물소,식육(숯불구이),공릉동 여물소,https://place.map.kakao.com/10250915,여물소,"육류,고기",3.7,6
13,서울특별시 노원구 공릉동 380-54번지 ,영자네곱창(공릉역점),한식,공릉동 영자네곱창(공릉역점),https://place.map.kakao.com/2038437403,영자네곱창 공릉역점,"곱창,막창",5.0,1
14,서울특별시 노원구 공릉동 380-5,장수해물칼국수,한식,공릉동 장수해물칼국수,https://place.map.kakao.com/13594099,장수해물칼국수,국수,3.8,8
15,서울특별시 노원구 공릉동 323-20,서울뚱보네기사식당,한식,공릉동 서울뚱보네기사식당,https://place.map.kakao.com/11136536,뚱보네기사식당,기사식당,0,0
16,서울특별시 노원구 공릉동 404-1번지 1층 ,산골집,한식,공릉동 산골집,https://place.map.kakao.com/16302446,산골집,두부전문점,4.4,7
17,서울특별시 노원구 공릉동 323-21번지 ,개미식당,한식,공릉동 개미식당,https://place.map.kakao.com/10131319,개미식당,한식,0,0
18,서울특별시 노원구 공릉동 323-21번지 ,원조멸치국수,일반조리판매,공릉동 원조멸치국수,https://place.map.kakao.com/16704247,원조멸치국수,국수,5.0,8
19,서울특별시 노원구 공릉동 404-8 1층,아늑한주방,한식,공릉동 아늑한주방,https://place.map.kakao.com/1549343775,아늑한주방 공릉점,일식,3.5,11
20,서울특별시 노원구 공릉동 379-1,남대문황금족발,한식,공릉동 남대문황금족발,https://place.map.kakao.com/16558134,남대문황금족발 공릉점,"족발,보쌈",4.0,1
21,서울특별시 노원구 공릉동 379-1,꿀삼겹,식육(숯불구이),공릉동 꿀삼겹,https://place.map.kakao.com/2085893063,꿀삼겹,삼겹살,5.0,2
22,서울특별시 노원구 공릉동 380-42번지 지상1층 ,동창야채닭갈비,한식,공릉동 동창야채닭갈비,https://place.map.kakao.com/27473728,동창야채닭갈비 공릉점,닭요리,4.0,3
23,서울특별시 노원구 공릉동 379-3번지 ,헬로베트남쌀국수,한식,공릉동 헬로베트남쌀국수,https://place.map.kakao.com/856906071,헬로베트남쌀국수 공릉점,베트남음식,4.0,2
24,서울특별시 노원구 공릉동 382-10 ,김밥천국,한식,공릉동 김밥천국,https://place.map.kakao.com/16527403,김밥천국 공릉점,분식,4.1,10
25,서울특별시 노원구 공릉동 382-11 ,백채김치찌개 공릉역점,한식,공릉동 백채김치찌개 공릉역점,https://place.map.kakao.com/628214370,백채김치찌개 공릉역점,"찌개,전골",5.0,6
26,서울특별시 노원구 공릉동 382-22번지 1층 ,스마일닭발,한식,공릉동 스마일닭발,https://place.map.kakao.com/1798189722,스마일닭발,닭요리,5.0,3
27,서울특별시 노원구 공릉동 379-4번지 금광빌딩 1층 ,땡초집,한식,공릉동 땡초집,https://place.map.kakao.com/27473603,땡초집,한식,4.0,4
28,서울특별시 노원구 공릉동 379-25번지 ,권서방네순대국,한식,공릉동 권서방네순대국,https://place.map.kakao.com/12697915,권서방네 순대국왕순대 공릉점,순대,5.0,1
29,서울특별시 노원구 공릉동 379-25번지 1층 ,생선까시,한식,공릉동 생선까시,https://place.map.kakao.com/1674504332,생선까시,한식,2.8,19
30,서울특별시 노원구 공릉동 404-2번지 ,뜨락,호프/통닭,공릉동 뜨락,https://place.map.kakao.com/1148391455,뜨락,한식,0,0
31,서울특별시 노원구 공릉동 323-8 ,제육대가(공릉점),한식,공릉동 제육대가(공릉점),https://place.map.kakao.com/640110863,제육대가 공릉점,"육류,고기",0,0
32,서울특별시 노원구 공릉동 323-8번지 ,원조명동찌개마을,한식,공릉동 원조명동찌개마을,https://place.map.kakao.com/1424200889,원조명동찌개마을 공릉동직영점,"찌개,전골",1.0,1
33,서울특별시 노원구 공릉동 379-34번지 101호,에이엔,일식,공릉동 에이엔,https://place.map.kakao.com/1105006417,에이엔,"초밥,롤",4.6,5
34,서울특별시 노원구 공릉동 383-2번지 ,일등숯불갈비,식육(숯불구이),공릉동 일등숯불갈비,https://place.map.kakao.com/345227058,일등숯불갈비,한식,3.5,4
35,서울특별시 노원구 공릉동 383-12 건양오피스텔 104호,휴돈정,한식,공릉동 휴돈정,https://place.map.kakao.com/1682786058,휴돈정,"돈까스,우동",3.8,24
36,서울특별시 노원구 공릉동 404-5번지 1층 ,구라네쪽갈비,한식,공릉동 구라네쪽갈비,https://place.map.kakao.com/25540244,구라네쪽갈비,갈비,5.0,3
37,서울특별시 노원구 공릉동 323-11,김밥윤결,호프/통닭,공릉동 김밥윤결,https://place.map.kakao.com/1791415002,김밥윤결,분식,2.6,5
38,서울특별시 노원구 공릉동 404-7번지 ,하회정,한식,공릉동 하회정,https://place.map.kakao.com/15832983,하회정,국수,5.0,5
39,서울특별시 노원구 공릉동 362-1,화락바베큐 노원 공릉점,호프/통닭,공릉동 화락바베큐 노원 공릉점,https://place.map.kakao.com/278542248,화락바베큐치킨 노원공릉점,치킨,0,0
40,서울특별시 노원구 공릉동 362-1번지 ,형제해장국,한식,공릉동 형제해장국,https://place.map.kakao.com/20741019,형제해장국,해장국,4.0,2
41,서울특별시 노원구 공릉동 362-1번지 ,피자알볼로 공릉하계점,통닭(치킨),공릉동 피자알볼로 공릉하계점,https://place.map.kakao.com/21876088,피자알볼로 공릉하계점,피자알볼로,1.0,1
42,서울특별시 노원구 공릉동 362-1번지 태평당약국 ,명륜진사갈비 공릉점,한식,공릉동 명륜진사갈비 공릉점,https://place.map.kakao.com/2015181783,명륜진사갈비 서울공릉점,명륜진사갈비,2.4,15
43,서울특별시 노원구 공릉동 323-10번지 ,대마에스시,일식,공릉동 대마에스시,https://place.map.kakao.com/288510513,대마에스시,"초밥,롤",3.2,5
44,서울특별시 노원구 공릉동 492-8번지 ,이박사왕돈까스,경양식,공릉동 이박사왕돈까스,https://place.map.kakao.com/16498930,이박사왕돈까스,"돈까스,우동",3.3,10
45,서울특별시 노원구 공릉동 400-32번지 ,고향집,한식,공릉동 고향집,https://place.map.kakao.com/854757776,고향집,한식,0,0
46,서울특별시 노원구 공릉동 492-9,곰배령 식당,한식,공릉동 곰배령 식당,https://place.map.kakao.com/676787831,곰배령전,한식,4.0,1
47,서울특별시 노원구 공릉동 492-9번지 ,울산아구찜,한식,공릉동 울산아구찜,https://place.map.kakao.com/19949847,울산아구찜,아구,0,0
48,서울특별시 노원구 공릉동 571-30번지 ,춘보식당,한식,공릉동 춘보식당,https://place.map.kakao.com/16055808,춘보만두,한식,2.9,29
49,서울특별시 노원구 공릉동 492-3 서진프라자아파트,고기반햄반 김치찌개 공릉점,한식,공릉동 고기반햄반 김치찌개 공릉점,https://place.map.kakao.com/248534070,고기반햄반김치찌개 김치찜 공릉점,"찌개,전골",0,0
50,서울특별시 노원구 공릉동 492-3번지 서진프라자아파트 ,매우당,한식,공릉동 매우당,https://place.map.kakao.com/2119726796,매우당,갈비,2.0,1
51,서울특별시 노원구 공릉동 400-4 외 1필지 ,신종로빈대떡,한식,공릉동 신종로빈대떡,https://place.map.kakao.com/16767623,신종로빈대떡,한식,5.0,1
52,서울특별시 노원구 공릉동 400-4 화랑공인중개사,그릭앤샌드 욤욤,기타,공릉동 그릭앤샌드 욤욤,https://place.map.kakao.com/1811206210,그릭앤샌드 욤욤,샌드위치,5.0,3
53,서울특별시 노원구 공릉동 400-4 화랑공인중개사 ,네네치킨 공릉역점,호프/통닭,공릉동 네네치킨 공릉역점,https://place.map.kakao.com/997281152,네네치킨 공릉역점,네네치킨,3.7,3
54,서울특별시 노원구 공릉동 400-4번지 화랑공인중개사 ,이박사복아구찜전문,일식,공릉동 이박사복아구찜전문,https://place.map.kakao.com/709008839,이박사복아구찜전문,한식,0,0
55,서울특별시 노원구 공릉동 400-8 신한양아파트 ,BBQ 공릉역점,한식,공릉동 BBQ 공릉역점,https://place.map.kakao.com/550910445,BBQ 공릉역점,BBQ,5.0,10
56,서울특별시 노원구 공릉동 400-8 신한양아파트 ,바로파스타&바로덮밥 공릉점,한식,공릉동 바로파스타&바로덮밥 공릉점,https://place.map.kakao.com/1340815102,바로파스타&바로덮밥 공릉점,음식점,0,0
57,서울특별시 노원구 공릉동 379-9 신대림아파트,참치여라,일식,공릉동 참치여라,https://place.map.kakao.com/614570625,참치여라,참치회,5.0,2
58,서울특별시 노원구 공릉동 571-9 ,번창,분식,공릉동 번창,https://place.map.kakao.com/1512318238,번창,국수,0,0
59,서울특별시 노원구 공릉동 571-9 1층,동수네,기타,공릉동 동수네,https://place.map.kakao.com/1915457679,동수네김밥,분식,5.0,1
60,서울특별시 노원구 공릉동 400-27번지 ,세광식당,한식,공릉동 세광식당,https://place.map.kakao.com/16527131,세광식당,"육류,고기",2.7,3
61,서울특별시 노원구 공릉동 379-20 샘병원빌딩 지하11층 ,버거킹공릉역점,패스트푸드,공릉동 버거킹공릉역점,https://place.map.kakao.com/630873835,버거킹 공릉역점,버거킹,2.8,22
62,서울특별시 노원구 공릉동 400-3 곱창집 ,호식이 두마리 치킨,통닭(치킨),공릉동 호식이 두마리 치킨,https://place.map.kakao.com/1539618262,호식이두마리치킨 공릉점,호식이두마리치킨,0,0
63,서울특별시 노원구 공릉동 571-11번지 ,전주백반,한식,공릉동 전주백반,https://place.map.kakao.com/16329348,전주백반,한식,4.0,4
64,서울특별시 노원구 공릉동 571-12번지 ,행복한 아구해물동태 찜탕,한식,공릉동 행복한 아구해물동태 찜탕,https://place.map.kakao.com/575568874,행복한아구해물동태찜탕,아구,0,0
65,서울특별시 노원구 공릉동 493-3번지 ,시골흑염소,한식,공릉동 시골흑염소,https://place.map.kakao.com/11941936,시골보신탕삼계탕,"사철탕,영양탕",4.8,4
66,서울특별시 노원구 공릉동 400-1 102호,공릉동숯불고기백반,한식,공릉동 공릉동숯불고기백반,https://place.map.kakao.com/1919372171,공릉동숯불고기백반 공릉본점,"육류,고기",0,0
67,서울특별시 노원구 공릉동 400-1번지 ,삼삼집,한식,공릉동 삼삼집,https://place.map.kakao.com/16590861,삼삼집,"육류,고기",0,0
68,서울특별시 노원구 공릉동 400-1번지 ,마린월드,일식,공릉동 마린월드,https://place.map.kakao.com/21447475,마린월드,회,4.8,4
69,서울특별시 노원구 공릉동 604-1번지 ,엄나무닭곰탕,한식,공릉동 엄나무닭곰탕,https://place.map.kakao.com/16736493,엄나무닭곰탕,곰탕,5.0,1
70,서울특별시 노원구 공릉동 383-14번지 1층 전체 ,추운돼지,한식,공릉동 추운돼지,https://place.map.kakao.com/1422508761,추운돼지,삼겹살,4.3,4
